12719;alpha flight (1983) #56
39822;alpha flight (2011) #4 (eaglesham variant)
12735;alpha flight (1983) #70
12760;alpha flight (1983) #93
1465;alpha flight (2004) #10
12648;alpha flight (1983) #109
12664;alpha flight (1983) #123
12680;alpha flight (1983) #20
12696;alpha flight (1983) #35
12712;alpha flight (1983) #5
12728;alpha flight (1983) #64
12744;alpha flight (1983) #79
41460;alpha flight by greg pak & fred van lente (hardcover)
41057;alpha flight by greg pak & fred van lente vol. 1 tpb (trade paperback)
60533;alpha flight by john byrne omnibus (hardcover)
6233;alpha flight classic vol. 1 (trade paperback)
31686;alpha flight classic vol. 2 (trade paperback)
41154;alpha flight classic vol. 3 (trade paperback)
27;alpha flight vol. 1: you gotta be kiddin' me (trade paperback)
1848;alpha flight vol. 2: waxing poetic (trade paperback)
46849;alpha: big time tpb (trade paperback)
56779;amadeus cho: genius at work (trade paperback)
17722;amazing adult fantasy (1961) #7
17724;amazing adult fantasy (1961) #9
17717;amazing adult fantasy (1961) #10
17719;amazing adult fantasy (1961) #12
17721;amazing adult fantasy (1961) #14
17723;amazing adult fantasy (1961) #8
17718;amazing adult fantasy (1961) #11
17720;amazing adult fantasy (1961) #13
23252;amazing adventures (1970) #16
23268;amazing adventures (1970) #30
17727;amazing adventures (1961) #3
23245;amazing adventures (1970) #1
23261;amazing adventures (1970) #24
23277;amazing adventures (1970) #39
23254;amazing adventures (1970) #18
23270;amazing adventures (1970) #32
17729;amazing adventures (1961) #5
23247;amazing adventures (1970) #11
23263;amazing adventures (1970) #26
23279;amazing adventures (1970) #5
23256;amazing adventures (1970) #2
23272;amazing adventures (1970) #34
23249;amazing adventures (1970) #13
23265;amazing adventures (1970) #28
23281;amazing adventures (1970) #7
23258;amazing adventures (1970) #21
23274;amazing adventures (1970) #36
23251;amazing adventures (1970) #15
23267;amazing adventures (1970) #3
17743;a-next (1998) #2
17745;a-next (1998) #4
17747;a-next (1998) #6
17740;a-next (1998) #10
17749;a-next (1998) #8
17742;a-next (1998) #12
17744;a-next (1998) #3
17746;a-next (1998) #5
17739;a-next (1998) #1
320;actor presents spider-man and the incredible hulk (2003) #1
28724;acts of vengeance (2011) (dm only variant)
28723;acts of vengeance (2011)
29317;acts of vengeance crossovers omnibus (hardcover)
29318;acts of vengeance crossovers omnibus (dm only) (hardcover)
23072;adam: legend of the blue marvel (2008) #3
23733;adam: legend of the blue marvel (2008) #5
22856;adam: legend of the blue marvel (2008) #2
23562;adam: legend of the blue marvel (2008) #4
24348;adam: legend of the blue marvel (trade paperback)
22461;adam: legend of the blue marvel (2008) #1
57847;adventures into fear (1970) #19
57813;adventures into fear (1970) #11
57815;adventures into fear (1970) #13
57817;adventures into fear (1970) #15
57819;adventures into fear (1970) #18
12554;adventures into fear (1970) #16
57849;adventures into fear (1970) #10
57814;adventures into fear (1970) #12
57816;adventures into fear (1970) #14
57818;adventures into fear (1970) #17
50992;adventures of cyclops & phoenix (1994) #1
50994;adventures of cyclops & phoenix (1994) #3
50993;adventures of cyclops & phoenix (1994) #2
50995;adventures of cyclops & phoenix (1994) #4
47069;age of apocalypse (2011) #13
54824;age of apocalypse (2015) #1 (mayhew ant-sized variant)
41263;age of apocalypse (2011) #7
41274;age of apocalypse (2011) #1
55195;age of apocalypse (2015) #2 (ramos variant)
41268;age of apocalypse (2011) #4
56250;age of apocalypse (2015) #3 (rodriguez variant)
41273;age of apocalypse (2011) #6
41266;age of apocalypse (2011) #12
51208;age of apocalypse (2015) #1
41267;age of apocalypse (2011) #8
47070;age of apocalypse (2011) #14
51212;age of apocalypse (2015) #3
41272;age of apocalypse (2011) #11
41271;age of apocalypse (2011) #10
51210;age of apocalypse (2015) #1 (young variant)
42539;age of apocalypse (2011) #2 (avengers art appreciation variant)
41264;age of apocalypse (2011) #3
